facebook.com,157.240.3.35
amazon.com,54.239.17.6
wordpress.com,192.0.78.9
yahoo.com,206.190.36.45
ifeng.com,210.51.19.63
live.com,65.55.206.154
wikipedia.org,208.80.153.224
youtube.com,216.58.217.46
goo.ne.jp,153.254.147.65
baidu.com,111.13.101.208
tudou.com,123.126.98.147
blogspot.com,216.58.217.9
yandex.ru,5.255.255.80
yahoo.co.jp,182.22.59.229
msn.com,23.101.196.141
microsoft.com,104.40.211.35
bbc.co.uk,212.58.244.23
qq.com,61.135.157.156
mail.ru,94.100.180.199
myspace.com,63.135.90.70
go.com,199.181.131.249
cnet.com,64.30.228.118
bing.com,204.79.197.200
sina.com.cn,202.108.33.60
soso.com,106.120.151.169
163.com,123.58.180.8
taobao.com,140.205.220.96
ask.com,66.235.120.127
sohu.com,220.181.90.20
adobe.com,192.150.16.117
apple.com,17.142.160.59
twitter.com,199.59.148.82
windows.com,104.40.211.35
ebay.com,66.135.209.52
mozilla.com,63.245.213.24
hao123.com,180.149.131.31
orkut.com,104.198.212.182
4399.com,118.184.184.70
ameblo.jp,27.133.208.13
naver.com,202.179.177.22
flickr.com,69.147.76.173
4shared.com,204.155.149.139
pps.tv,58.83.190.154
amazon.co.jp,54.240.252.0
youku.com,119.167.145.19
linkedin.com,108.174.10.10
sdjjdsaf.com,
skype.com,23.102.255.237
wmfo.org,23.92.21.128
andysayler.com,162.243.49.20
imdb.com,207.171.166.22
dailymotion.com,195.8.215.136
xunlei.com,119.188.108.240
aol.com,149.174.107.97
fc2.com,54.187.26.65
56.com,101.227.173.126
sogou.com,118.191.216.42
paypal.com,64.4.250.23
tmall.com,140.205.94.193
ku6.com,122.11.45.243
about.com,207.241.148.80
orkut.com.br,
rakuten.co.jp,133.237.48.124
