ifeng.com,210.51.19.63
facebook.com,31.13.95.36
amazon.com,54.239.17.6
youtube.com,216.58.217.46
wordpress.com,192.0.78.17
yahoo.com,98.138.253.109
live.com,65.55.206.154
tudou.com,123.126.98.147
yahoo.co.jp,183.79.135.206
wikipedia.org,208.80.153.224
sohu.com,220.181.90.20
msn.com,23.101.196.141
apple.com,17.178.96.59
baidu.com,180.149.132.47
hao123.com,180.149.132.19
windows.com,23.96.52.53
blogspot.com,216.58.217.41
ebay.com,66.211.160.86
microsoft.com,23.100.122.175
pps.tv,58.83.190.154
goo.ne.jp,153.254.147.65
qq.com,61.135.157.156
xunlei.com,119.188.108.240
bbc.co.uk,212.58.246.79
yandex.ru,77.88.55.70
myspace.com,63.135.90.70
taobao.com,140.205.220.96
bing.com,204.79.197.200
sina.com.cn,202.108.33.60
mail.ru,94.100.180.199
cnet.com,64.30.228.118
56.com,101.227.173.126
fc2.com,52.41.146.181
go.com,199.181.131.249
soso.com,106.120.151.169
paypal.com,64.4.250.23
163.com,123.58.180.7
ask.com,66.235.120.127
adobe.com,192.150.16.117
twitter.com,199.59.148.10
mozilla.com,63.245.213.24
youku.com,101.227.10.19
sogou.com,118.191.216.42
sdjjdsaf.com,
tmall.com,140.205.130.99
4399.com,118.184.184.70
andysayler.com,162.243.49.20
ku6.com,122.11.45.243
wmfo.org,23.92.21.128
rakuten.co.jp,133.237.48.124
orkut.com,104.155.130.242
skype.com,23.102.255.237
about.com,207.241.148.80
ameblo.jp,27.133.208.13
naver.com,125.209.222.141
flickr.com,69.147.76.173
4shared.com,204.155.149.29
amazon.co.jp,54.240.248.0
linkedin.com,108.174.10.10
dailymotion.com,195.8.215.136
imdb.com,72.21.206.80
aol.com,149.174.107.97
orkut.com.br,
