Schedule, Wall Clock Time (sec), Total User Mode CPU Seconds, Total Kernel Mode CPU Seconds, CPU Percentage, Total Non-Voluntary Context Switches, Total Voluntary Context Switches, # Processes, Random, Mode
SCHED_OTHER, 0.10, 0.36, 0.00, 339%, 87, 17, 10, 0, CPU
SCHED_OTHER, 0.12, 0.36, 0.00, 300%, 66, 17, 10, 1, CPU
SCHED_OTHER, 0.50, 1.80, 0.00, 359%, 596, 61, 50, 0, CPU
SCHED_OTHER, 0.58, 1.80, 0.00, 307%, 431, 59, 50, 1, CPU
SCHED_OTHER, 1.01, 3.64, 0.00, 357%, 1130, 110, 100, 0, CPU
SCHED_OTHER, 1.06, 3.60, 0.00, 337%, 998, 112, 100, 1, CPU
SCHED_FIFO, 0.12, 0.36, 0.00, 300%, 2, 19, 10, 0, CPU
SCHED_FIFO, 0.12, 0.36, 0.00, 300%, 11, 16, 10, 1, CPU
SCHED_FIFO, 0.58, 1.80, 0.00, 307%, 2, 60, 50, 0, CPU
SCHED_FIFO, 0.51, 1.80, 0.00, 349%, 48, 57, 50, 1, CPU
SCHED_FIFO, 1.01, 3.60, 0.00, 355%, 6, 108, 100, 0, CPU
SCHED_FIFO, 1.02, 3.60, 0.00, 350%, 91, 106, 100, 1, CPU
SCHED_RR, 0.12, 0.36, 0.00, 300%, 2, 18, 10, 0, CPU
SCHED_RR, 0.12, 0.36, 0.00, 300%, 9, 17, 10, 1, CPU
SCHED_RR, 0.58, 1.80, 0.00, 308%, 2, 60, 50, 0, CPU
SCHED_RR, 0.51, 1.80, 0.00, 350%, 46, 57, 50, 1, CPU
SCHED_RR, 1.00, 3.60, 0.00, 359%, 6, 110, 100, 0, CPU
SCHED_RR, 1.03, 3.60, 0.00, 348%, 95, 108, 100, 1, CPU
SCHED_OTHER, 0.05, 0.00, 0.15, 298%, 33, 16, 10, 0, IO
SCHED_OTHER, 0.05, 0.00, 0.13, 261%, 30, 16, 10, 1, IO
SCHED_OTHER, 0.25, 0.00, 0.80, 321%, 321, 58, 50, 0, IO
SCHED_OTHER, 0.24, 0.00, 0.79, 319%, 234, 58, 50, 1, IO
SCHED_OTHER, 0.49, 0.00, 1.64, 330%, 668, 114, 100, 0, IO
SCHED_OTHER, 0.49, 0.00, 1.58, 320%, 490, 108, 100, 1, IO
SCHED_FIFO, 0.05, 0.00, 0.14, 276%, 2, 16, 10, 0, IO
SCHED_FIFO, 0.05, 0.00, 0.14, 276%, 11, 20, 10, 1, IO
SCHED_FIFO, 0.24, 0.00, 0.78, 314%, 2, 57, 50, 0, IO
SCHED_FIFO, 0.25, 0.01, 0.78, 320%, 43, 57, 50, 1, IO
SCHED_FIFO, 0.49, 0.00, 1.59, 322%, 2, 109, 100, 0, IO
SCHED_FIFO, 0.49, 0.00, 1.61, 325%, 99, 111, 100, 1, IO
SCHED_RR, 0.05, 0.00, 0.14, 276%, 2, 16, 10, 0, IO
SCHED_RR, 0.05, 0.00, 0.14, 276%, 8, 14, 10, 1, IO
SCHED_RR, 0.26, 0.00, 0.78, 292%, 6, 57, 50, 0, IO
SCHED_RR, 0.24, 0.00, 0.79, 320%, 49, 56, 50, 1, IO
SCHED_RR, 0.49, 0.01, 1.58, 323%, 2, 108, 100, 0, IO
SCHED_RR, 0.52, 0.00, 1.60, 304%, 118, 117, 100, 1, IO
SCHED_OTHER, 9.77, 38.63, 0.04, 395%, 4578, 16, 10, 0, MIXED
SCHED_OTHER, 10.67, 38.34, 0.05, 359%, 2129, 17, 10, 1, MIXED
SCHED_OTHER, 48.39, 192.72, 0.26, 398%, 50483, 58, 50, 0, MIXED
SCHED_OTHER, 49.02, 192.67, 0.27, 393%, 28467, 57, 50, 1, MIXED
SCHED_OTHER, 97.04, 386.46, 0.46, 398%, 101176, 111, 100, 0, MIXED
SCHED_OTHER, 97.42, 385.92, 0.50, 396%, 70477, 108, 100, 1, MIXED
SCHED_FIFO, 12.00, 39.10, 0.04, 326%, 36, 19, 10, 0, MIXED
SCHED_FIFO, 11.96, 38.90, 0.04, 325%, 59, 16, 10, 1, MIXED
SCHED_FIFO, 53.44, 196.50, 0.18, 368%, 201, 57, 50, 0, MIXED
SCHED_FIFO, 53.26, 196.08, 0.19, 368%, 339, 57, 50, 1, MIXED
SCHED_FIFO, 102.92, 390.68, 0.45, 380%, 410, 109, 100, 0, MIXED
SCHED_FIFO, 103.55, 390.95, 0.53, 378%, 695, 107, 100, 1, MIXED
SCHED_RR, 10.75, 38.86, 0.04, 361%, 170, 20, 10, 0, MIXED
SCHED_RR, 11.83, 38.60, 0.02, 326%, 51, 16, 10, 1, MIXED
SCHED_RR, 51.92, 195.90, 0.18, 377%, 730, 60, 50, 0, MIXED
SCHED_RR, 54.32, 197.87, 0.16, 364%, 343, 58, 50, 1, MIXED
SCHED_RR, 103.82, 394.28, 0.40, 380%, 1515, 111, 100, 0, MIXED
SCHED_RR, 104.43, 394.42, 0.38, 378%, 714, 113, 100, 1, MIXED
